feature,type,description,missing_rate_train
log_goal,numeric,Log(1+goal): compresses right skew of funding goal,0.00%
duration_days,numeric,Campaign duration in days (capped at 90),0.00%
prep_days,numeric,Days from account creation to launch (winsorised at 99th pct),0.00%
blurb_length,numeric,Character count of campaign short description,0.00%
name_length,numeric,Character count of campaign title,0.00%
blurb_word_count,numeric,Word count of campaign short description,0.00%
launched_month,numeric,"Month of launch (1=Jan, 12=Dec)",0.00%
launched_dayofweek,numeric,"Day of week at launch (0=Mon, 6=Sun)",0.00%
goal_per_day,numeric,goal / duration_days: daily fundraising target,0.00%
log_goal_vs_cat_median,numeric,Log(1 + goal / category_median_goal): relative ambition within category,0.00%
cat_name_encoded,numeric,"Smoothed target encoding of subcategory (train success rate, λ=10)",0.00%
cat_parent_encoded,numeric,"Smoothed target encoding of parent category (train success rate, λ=10)",0.00%
has_video,binary,"1 = video attached to campaign page, 0 = no video",0.00%
name_number,binary,1 = campaign title contains a digit (0–9),0.00%
goal_is_round,binary,"1 = funding goal is divisible by 1,000",0.00%
is_usd,binary,1 = campaign currency is USD,0.00%
staff_pick,binary,1 = campaign flagged as Kickstarter editorial pick,—
country_AU,binary,1 = campaign from AU (one-hot encoded),0.00%
country_CA,binary,1 = campaign from CA (one-hot encoded),0.00%
country_DE,binary,1 = campaign from DE (one-hot encoded),0.00%
country_DK,binary,1 = campaign from DK (one-hot encoded),0.00%
country_ES,binary,1 = campaign from ES (one-hot encoded),0.00%
country_FR,binary,1 = campaign from FR (one-hot encoded),0.00%
country_GB,binary,1 = campaign from GB (one-hot encoded),0.00%
country_HK,binary,1 = campaign from HK (one-hot encoded),0.00%
country_IT,binary,1 = campaign from IT (one-hot encoded),0.00%
country_MX,binary,1 = campaign from MX (one-hot encoded),0.00%
country_NL,binary,1 = campaign from NL (one-hot encoded),0.00%
country_Other,binary,1 = campaign from Other (one-hot encoded),0.00%
country_SE,binary,1 = campaign from SE (one-hot encoded),0.00%
country_US,binary,1 = campaign from US (one-hot encoded),0.00%
blurb_has_2nd,binary,1 = blurb contains '2nd',0.00%
blurb_has_able,binary,1 = blurb contains 'able',0.00%
blurb_has_aim,binary,1 = blurb contains 'aim',0.00%
blurb_has_annual,binary,1 = blurb contains 'annual',0.00%
blurb_has_arduino,binary,1 = blurb contains 'arduino',0.00%
blurb_has_award,binary,1 = blurb contains 'award',0.00%
blurb_has_brand_new,binary,1 = blurb contains 'brand new',0.00%
blurb_has_business,binary,1 = blurb contains 'business',0.00%
blurb_has_car,binary,1 = blurb contains 'car',0.00%
blurb_has_celebrating,binary,1 = blurb contains 'celebrating',0.00%
blurb_has_collaboration,binary,1 = blurb contains 'collaboration',0.00%
blurb_has_com,binary,1 = blurb contains 'com',0.00%
blurb_has_connection,binary,1 = blurb contains 'connection',0.00%
blurb_has_currently,binary,1 = blurb contains 'currently',0.00%
blurb_has_downtown,binary,1 = blurb contains 'downtown',0.00%
blurb_has_driven,binary,1 = blurb contains 'driven',0.00%
blurb_has_edinburgh,binary,1 = blurb contains 'edinburgh',0.00%
blurb_has_edition,binary,1 = blurb contains 'edition',0.00%
blurb_has_enamel,binary,1 = blurb contains 'enamel',0.00%
blurb_has_enamel_pins,binary,1 = blurb contains 'enamel pins',0.00%
blurb_has_entertainment,binary,1 = blurb contains 'entertainment',0.00%
blurb_has_equipment,binary,1 = blurb contains 'equipment',0.00%
blurb_has_exhibition,binary,1 = blurb contains 'exhibition',0.00%
blurb_has_exploration,binary,1 = blurb contains 'exploration',0.00%
blurb_has_featuring,binary,1 = blurb contains 'featuring',0.00%
blurb_has_fiction,binary,1 = blurb contains 'fiction',0.00%
blurb_has_final,binary,1 = blurb contains 'final',0.00%
blurb_has_fringe,binary,1 = blurb contains 'fringe',0.00%
blurb_has_hard_enamel,binary,1 = blurb contains 'hard enamel',0.00%
blurb_has_hello,binary,1 = blurb contains 'hello',0.00%
blurb_has_idea,binary,1 = blurb contains 'idea',0.00%
blurb_has_installation,binary,1 = blurb contains 'installation',0.00%
blurb_has_issue,binary,1 = blurb contains 'issue',0.00%
blurb_has_items,binary,1 = blurb contains 'items',0.00%
blurb_has_jewelry,binary,1 = blurb contains 'jewelry',0.00%
blurb_has_limited_edition,binary,1 = blurb contains 'limited edition',0.00%
blurb_has_looking,binary,1 = blurb contains 'looking',0.00%
blurb_has_news,binary,1 = blurb contains 'news',0.00%
blurb_has_nyc,binary,1 = blurb contains 'nyc',0.00%
blurb_has_pet,binary,1 = blurb contains 'pet',0.00%
blurb_has_pi,binary,1 = blurb contains 'pi',0.00%
blurb_has_pin,binary,1 = blurb contains 'pin',0.00%
blurb_has_presents,binary,1 = blurb contains 'presents',0.00%
blurb_has_press,binary,1 = blurb contains 'press',0.00%
blurb_has_product,binary,1 = blurb contains 'product',0.00%
blurb_has_queer,binary,1 = blurb contains 'queer',0.00%
blurb_has_radio,binary,1 = blurb contains 'radio',0.00%
blurb_has_raise_money,binary,1 = blurb contains 'raise money',0.00%
blurb_has_san,binary,1 = blurb contains 'san',0.00%
blurb_has_sell,binary,1 = blurb contains 'sell',0.00%
blurb_has_selling,binary,1 = blurb contains 'selling',0.00%
blurb_has_service,binary,1 = blurb contains 'service',0.00%
blurb_has_social_media,binary,1 = blurb contains 'social media',0.00%
blurb_has_southern,binary,1 = blurb contains 'southern',0.00%
blurb_has_start,binary,1 = blurb contains 'start',0.00%
blurb_has_starting,binary,1 = blurb contains 'starting',0.00%
blurb_has_talent,binary,1 = blurb contains 'talent',0.00%
blurb_has_theatre,binary,1 = blurb contains 'theatre',0.00%
blurb_has_trying,binary,1 = blurb contains 'trying',0.00%
blurb_has_volume,binary,1 = blurb contains 'volume',0.00%
blurb_has_want,binary,1 = blurb contains 'want',0.00%
blurb_has_want_create,binary,1 = blurb contains 'want create',0.00%
blurb_has_webcomic,binary,1 = blurb contains 'webcomic',0.00%
blurb_has_website,binary,1 = blurb contains 'website',0.00%
blurb_has_wild,binary,1 = blurb contains 'wild',0.00%
blurb_has_worship,binary,1 = blurb contains 'worship',0.00%
blurb_has_youtube,binary,1 = blurb contains 'youtube',0.00%
blurb_has_zine,binary,1 = blurb contains 'zine',0.00%
name_has_brewing,binary,1 = title contains 'brewing',0.00%
name_has_business,binary,1 = title contains 'business',0.00%
name_has_calendar,binary,1 = title contains 'calendar',0.00%
name_has_cards,binary,1 = title contains 'cards',0.00%
name_has_com,binary,1 = title contains 'com',0.00%
name_has_edition,binary,1 = title contains 'edition',0.00%
name_has_enamel,binary,1 = title contains 'enamel',0.00%
name_has_enamel_pin,binary,1 = title contains 'enamel pin',0.00%
name_has_enamel_pins,binary,1 = title contains 'enamel pins',0.00%
name_has_exhibition,binary,1 = title contains 'exhibition',0.00%
name_has_fine,binary,1 = title contains 'fine',0.00%
name_has_fringe,binary,1 = title contains 'fringe',0.00%
name_has_funding,binary,1 = title contains 'funding',0.00%
name_has_fundraiser,binary,1 = title contains 'fundraiser',0.00%
name_has_hard,binary,1 = title contains 'hard',0.00%
name_has_ii,binary,1 = title contains 'ii',0.00%
name_has_issue,binary,1 = title contains 'issue',0.00%
name_has_length_album,binary,1 = title contains 'length album',0.00%
name_has_limited,binary,1 = title contains 'limited',0.00%
name_has_make_100,binary,1 = title contains 'make 100',0.00%
name_has_media,binary,1 = title contains 'media',0.00%
name_has_organic,binary,1 = title contains 'organic',0.00%
name_has_presents,binary,1 = title contains 'presents',0.00%
name_has_radio,binary,1 = title contains 'radio',0.00%
name_has_science,binary,1 = title contains 'science',0.00%
name_has_season,binary,1 = title contains 'season',0.00%
name_has_set,binary,1 = title contains 'set',0.00%
name_has_tea,binary,1 = title contains 'tea',0.00%
name_has_vol,binary,1 = title contains 'vol',0.00%
name_has_volume,binary,1 = title contains 'volume',0.00%
name_has_zine,binary,1 = title contains 'zine',0.00%
